name	url
kimusecosmetics.vn	https://shopee.vn/kimusecosmetics.vn?categoryId=100630&itemId=6344890251
cucai.cosmetic	https://shopee.vn/cucai.cosmetic?categoryId=100630&itemId=2306568781
hellabeauty	https://shopee.vn/hellabeauty?categoryId=100630&itemId=9304646200
thanhpham1988	https://shopee.vn/thanhpham1988?categoryId=100630&itemId=6087861063
nailaccessories.vn	https://shopee.vn/nailaccessories.vn?categoryId=100630&itemId=9553770735
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=9074938640
merzy.officialstore	https://shopee.vn/merzy.officialstore?categoryId=100630&itemId=4218636314
ezshop0703	https://shopee.vn/ezshop0703?categoryId=100630&itemId=1837151845
manh219	https://shopee.vn/manh219?categoryId=100630&itemId=11733983080
do_nail_chinh_hang	https://shopee.vn/do_nail_chinh_hang?categoryId=100630&itemId=6105083552
mile0403	https://shopee.vn/mile0403?categoryId=100630&itemId=3455880586
bbshinevn	https://shopee.vn/bbshinevn?categoryId=100630&itemId=2130618636
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=7431940410
ngocltb4988	https://shopee.vn/ngocltb4988?categoryId=100630&itemId=1052407342
chinlove2020	https://shopee.vn/chinlove2020?categoryId=100630&itemId=5220461815
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=5142258861
thanhpham1988	https://shopee.vn/thanhpham1988?categoryId=100630&itemId=1370760324
perfectdiary.vn	https://shopee.vn/perfectdiary.vn?categoryId=100630&itemId=6853987377
pg_officialstorevn	https://shopee.vn/pg_officialstorevn?categoryId=100630&itemId=1488183516
hinphap	https://shopee.vn/hinphap?categoryId=100630&itemId=6390913645
dolatrum.vudu	https://shopee.vn/dolatrum.vudu?categoryId=100630&itemId=10362395576
unilevervn_beauty	https://shopee.vn/unilevervn_beauty?categoryId=100630&itemId=2855276268
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=4251292707
khanhip8	https://shopee.vn/khanhip8?categoryId=100630&itemId=3496213927
tochigi.store	https://shopee.vn/tochigi.store?categoryId=100630&itemId=7575912281
lylyga	https://shopee.vn/lylyga?categoryId=100630&itemId=9932335861
spashop	https://shopee.vn/spashop?categoryId=100630&itemId=1708578316
eherb.vn	https://shopee.vn/eherb.vn?categoryId=100630&itemId=4268630929
the_gioi_skin_food	https://shopee.vn/the_gioi_skin_food?categoryId=100630&itemId=4402977583
thanhpham1988	https://shopee.vn/thanhpham1988?categoryId=100630&itemId=220383105
salemypham89	https://shopee.vn/salemypham89?categoryId=100630&itemId=530276820
hohxilv.vn	https://shopee.vn/hohxilv.vn?categoryId=100630&itemId=3654966182
nuty.vn	https://shopee.vn/nuty.vn?categoryId=100630&itemId=5144155432
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=7002653173
biooilvietnam	https://shopee.vn/biooilvietnam?categoryId=100630&itemId=1981878143
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=11652228330
imagic_official.vn	https://shopee.vn/imagic_official.vn?categoryId=100630&itemId=3307192977
phuongvyshop89	https://shopee.vn/phuongvyshop89?categoryId=100630&itemId=1732532040
xuantupro.01	https://shopee.vn/xuantupro.01?categoryId=100630&itemId=11862089060
tongkho.mp	https://shopee.vn/tongkho.mp?categoryId=100630&itemId=13142134296
senka_officialstore	https://shopee.vn/senka_officialstore?categoryId=100630&itemId=2041024285
unilevervn_beauty	https://shopee.vn/unilevervn_beauty?categoryId=100630&itemId=8316917375
moomoostore95	https://shopee.vn/moomoostore95?categoryId=100630&itemId=9120975535
hoangyen_0981.084.333	https://shopee.vn/hoangyen_0981.084.333?categoryId=100630&itemId=7242843455
do_nail_chinh_hang	https://shopee.vn/do_nail_chinh_hang?categoryId=100630&itemId=4217627285
epharmacy.vn	https://shopee.vn/epharmacy.vn?categoryId=100630&itemId=3859060546
merzy.officialstore	https://shopee.vn/merzy.officialstore?categoryId=100630&itemId=4608617189
seovnpro	https://shopee.vn/seovnpro?categoryId=100630&itemId=3403232767
unilevervn_beauty	https://shopee.vn/unilevervn_beauty?categoryId=100630&itemId=1721558837
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=4258526530
lorealparis_officialstore	https://shopee.vn/lorealparis_officialstore?categoryId=100630&itemId=6649393976
the_gioi_skin_food	https://shopee.vn/the_gioi_skin_food?categoryId=100630&itemId=4402793710
mong_tay_gia_dinh_da	https://shopee.vn/mong_tay_gia_dinh_da?categoryId=100630&itemId=3262076691
duochoalinh	https://shopee.vn/duochoalinh?categoryId=100630&itemId=4187609198
tochigi.store	https://shopee.vn/tochigi.store?categoryId=100630&itemId=7670572460
chenglovehairs	https://shopee.vn/chenglovehairs?categoryId=100630&itemId=5433770485
sevichofficial.vn	https://shopee.vn/sevichofficial.vn?categoryId=100630&itemId=4490651246
chenglovehairs	https://shopee.vn/chenglovehairs?categoryId=100630&itemId=6576736587
luvela.official	https://shopee.vn/luvela.official?categoryId=100630&itemId=10017593973
senka_officialstore	https://shopee.vn/senka_officialstore?categoryId=100630&itemId=2757851959
sakurastore_vn	https://shopee.vn/sakurastore_vn?categoryId=100630&itemId=11864689369
thoitietnaylomoqua	https://shopee.vn/thoitietnaylomoqua?categoryId=100630&itemId=12148349062
qk.hairessential	https://shopee.vn/qk.hairessential?categoryId=100630&itemId=1971504031
seovnpro	https://shopee.vn/seovnpro?categoryId=100630&itemId=2056362677
thuyha_eyelash	https://shopee.vn/thuyha_eyelash?categoryId=100630&itemId=6334627376
halo_cosmetic	https://shopee.vn/halo_cosmetic?categoryId=100630&itemId=3868926800
lylyga	https://shopee.vn/lylyga?categoryId=100630&itemId=9423306549
buddy.hairs	https://shopee.vn/buddy.hairs?categoryId=100630&itemId=4858272527
wangjiayu2020.vn	https://shopee.vn/wangjiayu2020.vn?categoryId=100630&itemId=7940805102
xuboutiquegiayvnxk	https://shopee.vn/xuboutiquegiayvnxk?categoryId=100630&itemId=1540461009
thecaringhair	https://shopee.vn/thecaringhair?categoryId=100630&itemId=1234718665
cocute.vn	https://shopee.vn/cocute.vn?categoryId=100630&itemId=7969826238
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=3039358454
minidarling.vn	https://shopee.vn/minidarling.vn?categoryId=100630&itemId=6981760135
minijumie.vn	https://shopee.vn/minijumie.vn?categoryId=100630&itemId=4480259058
manh219	https://shopee.vn/manh219?categoryId=100630&itemId=2296581010
kolin.vn	https://shopee.vn/kolin.vn?categoryId=100630&itemId=6077450568
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=11426170214
me_bom_lhp	https://shopee.vn/me_bom_lhp?categoryId=100630&itemId=5677560477
vytran161616	https://shopee.vn/vytran161616?categoryId=100630&itemId=1622131465
lanbenaplus.vn	https://shopee.vn/lanbenaplus.vn?categoryId=100630&itemId=5733580436
lovelyhome005.vn	https://shopee.vn/lovelyhome005.vn?categoryId=100630&itemId=4891959916
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=8112674612
phukien6k	https://shopee.vn/phukien6k?categoryId=100630&itemId=7494347725
ukbeautyhouse	https://shopee.vn/ukbeautyhouse?categoryId=100630&itemId=5045851968
sale.vn	https://shopee.vn/sale.vn?categoryId=100630&itemId=6253674398
dy9973571031.vn	https://shopee.vn/dy9973571031.vn?categoryId=100630&itemId=7355898174
moccomestic	https://shopee.vn/moccomestic?categoryId=100630&itemId=4146304051
wangjiayu2020.vn	https://shopee.vn/wangjiayu2020.vn?categoryId=100630&itemId=6026772770
nailaccessories.vn	https://shopee.vn/nailaccessories.vn?categoryId=100630&itemId=10103221192
travelgoods.vn	https://shopee.vn/travelgoods.vn?categoryId=100630&itemId=7841424954
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=7455537282
lanbenaplus.vn	https://shopee.vn/lanbenaplus.vn?categoryId=100630&itemId=4177635717
gdtima.vn	https://shopee.vn/gdtima.vn?categoryId=100630&itemId=4858508277
do_nail_chinh_hang	https://shopee.vn/do_nail_chinh_hang?categoryId=100630&itemId=3409519758
hoaimin00	https://shopee.vn/hoaimin00?categoryId=100630&itemId=9661761934
olin.house	https://shopee.vn/olin.house?categoryId=100630&itemId=13529260011
yrshop.vn	https://shopee.vn/yrshop.vn?categoryId=100630&itemId=4804512663
cloe.store	https://shopee.vn/cloe.store?categoryId=100630&itemId=5752582623
spashopvn2	https://shopee.vn/spashopvn2?categoryId=100630&itemId=6934879858
focallure.vn	https://shopee.vn/focallure.vn?categoryId=100630&itemId=5736210723
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=8793928792
thuynga.beauty	https://shopee.vn/thuynga.beauty?categoryId=100630&itemId=11655898463
trinhmanhtruong2104	https://shopee.vn/trinhmanhtruong2104?categoryId=100630&itemId=5272297429
chustore2017	https://shopee.vn/chustore2017?categoryId=100630&itemId=7368267654
garnier_officialstore	https://shopee.vn/garnier_officialstore?categoryId=100630&itemId=11406984091
covyycosmetic	https://shopee.vn/covyycosmetic?categoryId=100630&itemId=6954073854
cocoonvietnamofficial	https://shopee.vn/cocoonvietnamofficial?categoryId=100630&itemId=6918321884
shopdientu	https://shopee.vn/shopdientu?categoryId=100630&itemId=9103949646
sky68_officialstore	https://shopee.vn/sky68_officialstore?categoryId=100630&itemId=3659998093
dcpxhoanganh	https://shopee.vn/dcpxhoanganh?categoryId=100630&itemId=3243820035
gocgomsaphn	https://shopee.vn/gocgomsaphn?categoryId=100630&itemId=11433100197
vyvysciu	https://shopee.vn/vyvysciu?categoryId=100630&itemId=5445289189
oneshop6868	https://shopee.vn/oneshop6868?categoryId=100630&itemId=5558613943
h0879575121	https://shopee.vn/h0879575121?categoryId=100630&itemId=11601766536
enchanteur_vietnam	https://shopee.vn/enchanteur_vietnam?categoryId=100630&itemId=4031675000
shenzhou.vn	https://shopee.vn/shenzhou.vn?categoryId=100630&itemId=8812648023
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=4162501597
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=1080396618
carslanofficial.vn	https://shopee.vn/carslanofficial.vn?categoryId=100630&itemId=9617853957
senabeauty	https://shopee.vn/senabeauty?categoryId=100630&itemId=1078636002
saniyecosmetic2.vn	https://shopee.vn/saniyecosmetic2.vn?categoryId=100630&itemId=5851456801
flower789.vn	https://shopee.vn/flower789.vn?categoryId=100630&itemId=4259895571
tongkho.mp	https://shopee.vn/tongkho.mp?categoryId=100630&itemId=10264605175
olay_officialstorevn	https://shopee.vn/olay_officialstorevn?categoryId=100630&itemId=6493158109
clovershop68	https://shopee.vn/clovershop68?categoryId=100010&itemId=2087329600
myphamminhha	https://shopee.vn/myphamminhha?categoryId=100630&itemId=5017172024
gocgomsaphn	https://shopee.vn/gocgomsaphn?categoryId=100630&itemId=10752957718
